#分类,位置,商品编号或物品名,数量(默认1),价格(默认1),价格类型（0金币,1元宝,2,绑定元宝,3绑定金币,4通用元宝,5通用金币）,,"绑定(0不绑定,1绑定,2使用绑定)"
0,0,VIP会员(30天),1,4500,1,6000,,,,,,,
0,1,招财神符,1,100,1,200,,,,,,,
0,2,开心富贵虎,1,100,1,200,,,,,,,
0,3,十全大补丸,1,200,1,1000,,,,,,,
0,4,许愿金币,1,288,1,500,,,,,,,
0,5,装备灵魂石(100),1,1000,1,2000,,,,,,,
0,6,守护资质丹,1,300,1,1000,,,,,,,
0,7,灵气珠(500),1,500,1,1000,,,,,,,
0,8,守护进化丹,1,300,1,1000,,,,,,,
0,9,兽灵精华(500),1,500,1,1000,,,,,,,
0,10,15037,1,300,1,1000,,,,,,,
0,11,魂石令牌(500),1,300,1,1000,,,,,,,
0,12,荣誉令牌(10000),1,300,1,1000,,,,,,,
0,13,成就令牌,1,200,1,200,,,,,,,
0,14,修为令牌,1,500,1,1000,,,,,,,
0,15,进阶石,1,10,1,20,,,,,,,
0,16,聚灵珠,1,1280,1,1580,,,,,,,
0,17,超级祝福油,1,10800,1,12000,,,,,,,
0,18,盘古神石,1,5888,1,6000,,,,,,,
0,19,女娲神石,1,5888,1,6000,,,,,,,
0,20,疗伤药(包),1,10,1,60,,,,,,,
0,21,祈灵玉,1,1000,1,1500,,,,,,,
0,22,镇魔令,1,10,1,10,,,,,,,
0,23,镇魔令包,1,100,1,100,,,,,,,
0,24,镇魔令大包,1,1000,1,1000,,,,,,,
0,25,千里传音(10次),1,1000,1,1000,,,,,,,
0,26,七彩石,1,4000,1,4000,,,,,,,
0,27,武力丹,1,312,1,312,,,,,,,
0,28,魔力丹,1,312,1,312,,,,,,,
0,29,道力丹,1,312,1,312,,,,,,,
0,30,金钟丹,1,208,1,312,,,,,,,
0,31,铁布丹,1,208,1,312,,,,,,,
0,32,15004,1,150,1,300,,,,,,,
0,33,15005,1,450,1,900,,,,,,,
0,34,15006,1,1200,1,2400,,,,,,,
0,35,幸运神符(5%),1,90,1,200,,,,,,,
0,36,幸运神符(10%),1,268,1,600,,,,,,,
0,37,幸运神符(20%),1,612,1,1200,,,,,,,
0,38,幸运神符(30%),1,1200,1,2400,,,,,,,
0,39,幸运神符(40%),1,2400,1,4800,,,,,,,
0,40,幸运神符(50%),1,4800,1,9600,,,,,,,
0,41,幸运神符(100%),1,48000,1,48000,,,,,,,
0,42,低级融合符,1,600,1,1200,,,,,,,
0,43,中级融合符,1,4685,1,9370,,,,,,,
0,44,高级融合符,1,16200,1,32400,,,,,,,
0,45,超级融合符,1,32400,1,64800,,,,,,,
0,46,女儿红,1,10,1,20,,,,,,,
0,47,青铜镖令,1,10,1,20,,,,,,,
0,48,15035,1,30,1,100,,,,,,,
0,49,15036,1,150,1,500,,,,,,,
0,50,玛雅令牌,1,300,1,500,,,,,,,
0,51,赎罪药水,1,200,1,200,,,,,,,
0,52,回城石,1,50,1,100,,,,,,,
0,53,随机传送石,1,20,1,50,,,,,,,
0,54,移动仓库卷,1,50,1,50,,,,,,,
0,55,魔血石[10W],1,100,1,200,,,,,,,
0,56,魔血石[20W],1,200,1,400,,,,,,,
0,57,魔血石[50W],1,500,1,1000,,,,,,,
0,58,骰子,1,100,1,100,,,,,,,
0,59,还魂丹,1,100,1,100,,,,,,,
0,60,奴玛号角,1,500,1,1000,,,,,,,
0,61,王城印绶,1,100,1,200,,,,,,,
0,62,260012,1,300,1,1000,,,,,,,
9,0,VIP会员(30天),1,4500,1,6000,,,,,,,
9,1,招财神符,1,100,1,200,,,,,,,
9,2,聚灵珠,1,1280,1,1580,,,,,,,
9,3,开心富贵虎,1,100,1,200,,,,,,,
9,4,15004,1,150,1,300,,,,,,,
9,5,疗伤药(包),1,10,1,60,,,,,,,
9,6,盘古神石,1,5888,1,6000,,,,,,,
9,7,千里传音(10次),1,1000,1,1000,,,,,,,
9,8,魔血石[50W],1,500,1,1000,,,,,,,
9,9,祈灵玉,1,1000,1,1500,,,,,,,
9,10,七彩石,1,4000,1,4000,,,,,,,
9,11,赎罪药水,1,200,1,200,,,,,,,
9,12,回城石,1,50,1,100,,,,,,,
1,0,疗伤药(包),1,30,2,60,,,,,,,
1,1,聚灵珠,1,1280,2,1580,,,,,,,
1,2,玛雅令牌,1,300,2,500,,,,,,,
1,3,装备灵魂石(50)[绑],1,1000,2,2000,,,,,,,
1,4,进阶石包(200),1,2000,2,4000,,,,,,,
1,5,守护进化丹包,1,500,2,1000,,,,,,,
1,6,灵气珠(500)[绑],1,500,2,1000,,,,,,,
1,7,兽灵精华(100)[绑],1,100,2,200,,,,,,,
1,8,祈福令牌(小),1,1000,2,1000,,,,,,,
1,9,一级玄晶宝箱（绑）,1,800,2,2000,,,,,,,
1,10,真气丹(100)[绑],1,200,2,500,,,,,,,
1,11,低级融合符,1,600,2,1200,,,,,,,
1,12,魂石令牌(500),1,300,2,1000,,,,,,,
1,13,荣誉令牌(10000),1,300,2,1000,,,,,,,
1,14,成就令牌,1,200,2,200,,,,,,,
1,15,15004,1,150,2,300,,,,,,,
1,16,15005,1,450,2,900,,,,,,,
1,17,15006,1,1200,2,2400,,,,,,,
1,18,镇魔令,1,10,2,10,,,,,,,
1,19,镇魔令包,1,100,2,100,,,,,,,
1,20,镇魔令大包,1,1000,2,1000,,,,,,,
1,21,回城石,1,50,2,100,,,,,,,
1,22,随机传送石,1,20,2,50,,,,,,,
1,23,坐骑经验丹(大),1,300,2,1000,,,,,,,
1,24,魔血石[10W],1,100,2,200,,,,,,,
1,25,魔血石[20W],1,200,2,400,,,,,,,
1,26,魔血石[50W],1,500,2,1000,,,,,,,
1,27,女儿红,1,10,2,20,,,,,,,
1,28,青铜镖令,1,10,2,20,,,,,,,
2,0,祈福令牌(小),1,10,5,10,,,,,,,
2,1,祈福令牌(中),1,50,5,50,,,,,,,
2,2,祈福令牌(大),1,100,5,100,,,,,,,
2,3,转生石,1,5,5,10,,,,,,,
2,4,玉石原石,1,200,5,300,,,,,,,
2,5,天书精华,1,200,5,300,,,,,,,
2,6,天蚕精华,1,200,5,300,,,,,,,
2,7,三级宝石,1,3,5,5,,,,,,,
2,8,四级宝石,1,9,5,12,,,,,,,
2,9,五级宝石,1,27,5,30,,,,,,,
2,10,六级宝石,1,80,5,80,,,,,,,
2,11,七级宝石,1,200,5,200,,,,,,,
2,12,八级宝石,1,550,5,550,,,,,,,
2,13,九级宝石,1,1600,5,1600,,,,,,,
2,14,四级灵羽,1,10,5,15,,,,,,,
2,15,五级灵羽,1,30,5,40,,,,,,,
2,16,六级灵羽,1,90,5,120,,,,,,,
2,17,七级灵羽,1,270,5,360,,,,,,,
2,18,八级灵羽,1,810,5,1080,,,,,,,
2,19,170006,1,40000,5,1080000,,,,,,,
2,20,170016,1,40000,5,1080000,,,,,,,
2,21,210012,1,50000,5,1080000,,,,,,,
2,22,220012,1,50000,5,1080000,,,,,,,
2,23,230012,1,50000,5,1080000,,,,,,,
2,24,240012,1,50000,5,1080000,,,,,,,
2,25,250012,1,50000,5,1080000,,,,,,,
2,26,200011,1,50000,5,1080000,,,,,,,
2,27,190012,1,50000,5,1080000,,,,,,,
2,28,180011,1,50000,5,1080000,,,,,,,
2,29,160013,1,50000,5,1080000,,,,,,,
2,30,80012,1,50000,5,1080000,,,,,,,
2,31,110012,1,50000,5,1080000,,,,,,,

3,0,150003,1,24750,1,30937,,,,,,,
3,1,155003,1,24750,1,30937,,,,,,,
3,2,150002,1,3000,1,3750,,,,,,,
3,3,155002,1,3000,1,3750,,,,,,,
3,4,150026,1,3300,1,4200,,,,,,,
3,5,155026,1,3300,1,4200,,,,,,,
3,6,155009,1,40000000,1,42000000,,,,,,,
3,7,150009,1,40000000,1,42000000,,,,,,,
3,8,150015,1,23000000,1,42000000,,,,,,,
3,9,155015,1,23000000,1,42000000,,,,,,,
3,10,155021,1,30000000,1,42000000,,,,,,,
3,11,150021,1,30000000,1,42000000,,,,,,,
3,12,150007,1,3000000,1,42000000,,,,,,,
3,13,155007,1,3000000,1,42000000,,,,,,,
3,14,155017,1,60000000,1,62000000,,,,,,,
3,15,150017,1,60000000,1,62000000,,,,,,,
3,16,10318,1,1000000,1,62000000,,,,,,,
3,17,10271,1,20000000,1,62000000,,,,,,,
3,18,10259,1,20000000,1,62000000,,,,,,,
3,19,10247,1,20000000,1,62000000,,,,,,,
3,20,10235,1,20000000,1,62000000,,,,,,,
3,21,10222,1,40000000,1,62000000,,,,,,,
3,22,10223,1,60000000,1,62000000,,,,,,,
3,23,10146,1,10000000,1,62000000,,,,,,,
3,24,10145,1,6000000,1,62000000,,,,,,,
3,25,10177,1,50000,1,62000000,,,,,,,

8,0,18204,1,10,9,8,,,,,,,
8,1,18201,1,100,9,80,,,,,,,
8,2,18202,1,1000,9,800,,,,,,,
8,3,18203,1,10000,9,8000,,,,,,,
8,4,VIP会员(30天),1,450,9,360,,,,,,,
8,5,超级祝福油,1,1080,9,864,,,,,,,
8,6,盘古神石,1,590,9,472,,,,,,,
8,7,女娲神石,1,590,9,472,,,,,,,
8,8,金条,1,100,9,80,,,,,,,
8,9,千里传音(10次),1,100,9,80,,,,,,,
8,10,王城印绶,1,10,9,8,,,,,,,
8,11,招财神符,1,10,9,8,,,,,,,
8,12,开心富贵虎,1,10,9,8,,,,,,,
8,13,15037,1,30,9,24,,,,,,,
8,14,魂石令牌(500),1,30,9,24,,,,,,,
8,15,荣誉令牌(10000),1,30,9,24,,,,,,,
8,16,成就令牌,1,20,9,16,,,,,,,
8,17,15056,1,50,9,40,,,,,,,
8,18,15004,1,15,9,12,,,,,,,
8,19,聚灵珠,1,128,9,102,,,,,,,
8,20,祈灵玉,1,100,9,80,,,,,,,
8,21,15005,1,45,9,36,,,,,,,
8,22,15006,1,120,9,96,,,,,,,
8,23,玛雅令牌,1,30,9,24,,,,,,,
8,24,赎罪药水,1,20,9,16,,,,,,,
8,25,魔血石[10W],1,10,9,8,,,,,,,
8,26,魔血石[20W],1,20,9,16,,,,,,,
8,27,魔血石[50W],1,50,9,40,,,,,,,
8,28,七彩石,1,400,9,320,,,,,,,
8,29,骰子,1,10,9,8,,,,,,,
8,30,还魂丹,1,10,9,8,,,,,,,
8,31,诺玛号角,1,50,9,40,,,,,,,
